,user_number,title,content number,genre,loc,Weekdays/Weekends,Gender,Profession,Age,age,event,view,time,device,section,CP,watch time ( candle ),t-gap
175,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,66.0,3131
176,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,55.5,3131
177,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,55.5,3131
178,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,60.0,3131
179,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,60.0,3131
180,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,62.0,3131
181,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",3,1,2,1,25,1,0,1,22,1,5,5,62.0,3131
182,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",6,1,2,1,25,1,1,2,22,1,5,5,0.0,3131
183,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",6,1,2,1,25,1,0,2,22,1,5,5,60.0,3131
184,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",6,1,2,1,25,1,0,2,22,1,5,5,63.0,3131
185,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,1,2,22,1,5,5,0.0,3131
186,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,2,22,1,5,5,32.0,3131
187,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,1,3,22,1,5,5,0.0,3124
188,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,22,1,5,5,59.0,3124
189,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,22,1,5,5,58.0,3124
190,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,22,1,5,5,58.0,3124
191,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,22,1,5,5,59.5,3124
192,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,22,1,5,5,59.5,3124
193,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,22,1,5,5,60.0,3124
194,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,22,1,5,5,60.0,3124
195,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.5,3124
196,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.5,3124
197,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
198,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
199,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
200,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
201,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,59.0,3124
202,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,59.0,3124
203,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
204,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
205,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
206,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,64.5,3124
207,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,64.5,3124
208,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,62.0,3124
209,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,50.0,3124
210,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,61.0,3124
211,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,62.5,3124
212,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,62.5,3124
213,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,59.0,3124
214,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
215,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
216,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
217,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
218,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
219,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.5,3124
220,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.5,3124
221,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
222,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
223,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
224,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
225,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
226,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,59.5,3124
227,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,59.5,3124
228,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
229,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
230,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
231,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,60.0,3124
232,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,61.5,3124
233,1, game of thrones season 3,6," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,23,1,5,5,61.5,3124
234,1, game of thrones season 3,7," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,1,3,23,1,5,5,0.0,3117
